model,params_M,index_mem_MiB,load_s,index_build_s,lat_p50_ms,lat_p95_ms,hit@1,hit@4,idx_add_ms,idx_update_ms,idx_delete_ms
all-MiniLM-L6-v2,22.7,0.419,3.36,0.181,3.53,4.49,0.787,0.918,3.73,3.7,0.039
all-mpnet-base-v2,109.5,0.838,3.02,0.807,11.69,13.69,0.639,0.82,12.21,12.52,0.074
