endpoint,total_rows,mean_train_rows,mean_val_rows,clf_r1,retr_r1,clf_r3,retr_r3,n_seeds
/agent10/movement10,2,1.0,1.0,0.0,0.8,0.0,1.0,5
/agent10/lightcontrol10,2,1.0,1.0,0.0,0.4,0.0,1.0,5
/agent12/lightcontrol12,2,1.0,1.0,0.0,1.0,0.0,1.0,5
/agent11/heatingcontrol2/heatingOn,2,1.0,1.0,0.0,1.0,0.0,1.0,5
/agent6/washingmachine1/washing,3,2.0,1.0,0.0,1.0,0.6,1.0,5
/agent12/tempin12,3,2.0,1.0,0.0,1.0,0.0,1.0,5
/agent3/heatingcontrol1/heatingOn,3,2.0,1.0,0.0,1.0,1.0,1.0,5
/agent3/doorlock1/open,3,2.0,1.0,0.0,1.0,0.4,1.0,5
/agent11/washingmachine3/washing,16,12.0,4.0,0.6,1.0,0.8,1.0,5
/agent1/movement1/lastChange,18,14.0,4.0,0.2,0.0,1.0,1.0,5
/agent10/doorlock2/open,19,14.0,5.0,1.0,1.0,1.0,1.0,5
/agent28/movement28/lastChange,20,15.0,5.0,0.0,1.0,1.0,1.0,5
/agent29/movement29/lastChange,23,17.0,6.0,0.0,0.0,1.0,1.0,5
/agent10/movement10/lastChange,23,17.0,6.0,0.0,0.0,1.0,1.0,5
/agent11/movement11/lastChange,23,17.0,6.0,0.4,1.0,1.0,1.0,5
/agent27/movement27/lastChange,24,18.0,6.0,0.2,0.0,1.0,1.0,5
/agent23/movement23/lastChange,24,18.0,6.0,0.0,1.0,1.0,1.0,5
/agent2/movement2/lastChange,25,19.0,6.0,0.2,0.0,1.0,1.0,5
/agent5/movement5/lastChange,25,19.0,6.0,0.4,0.0,1.0,1.0,5
/agent26/movement26/lastChange,25,19.0,6.0,0.6,1.0,1.0,1.0,5
/agent12/movement12/lastChange,26,20.0,6.0,0.0,0.0,1.0,1.0,5
/agent25/movement25/lastChange,27,20.0,7.0,0.2,1.0,1.0,1.0,5
/agent14/movement14/lastChange,27,20.0,7.0,0.0,0.0,1.0,1.0,5
/agent3/movement3/lastChange,29,22.0,7.0,0.0,0.0,1.0,1.0,5
/agent13/movement13/lastChange,32,24.0,8.0,0.4,1.0,1.0,1.0,5
/agent20/movement20/lastChange,32,24.0,8.0,0.6,0.0,1.0,1.0,5
/agent4/movement4/lastChange,33,25.0,8.0,0.6,0.0,1.0,1.0,5
/agent6/movement6/lastChange,34,26.0,8.0,0.2,0.0,1.0,1.0,5
/agent21/movement21/lastChange,34,26.0,8.0,0.2,1.0,1.0,1.0,5
/agent13/lightcontrol13/lightOn,34,26.0,8.0,1.0,1.0,1.0,1.0,5
/agent22/movement22/lastChange,35,26.0,9.0,0.2,0.0,1.0,1.0,5
/agent24/movement24/lastChange,36,27.0,9.0,0.4,0.0,1.0,1.0,5
/agent1/lightcontrol1/lightOn,39,29.0,10.0,1.0,1.0,1.0,1.0,5
/agent5/lightcontrol5/lightOn,47,35.0,12.0,1.0,1.0,1.0,1.0,5
/agent2/lightcontrol2/lightOn,47,35.0,12.0,1.0,1.0,1.0,1.0,5
/agent3/lightcontrol3/lightOn,51,38.0,13.0,1.0,1.0,1.0,1.0,5
/agent6/lightcontrol6/lightOn,55,41.0,14.0,1.0,1.0,1.0,1.0,5
/agent4/lightcontrol4/lightOn,55,41.0,14.0,1.0,1.0,1.0,1.0,5
/agent10/lightcontrol10/lightOn,60,45.0,15.0,1.0,1.0,1.0,1.0,5
/agent11/lightcontrol11/lightOn,60,45.0,15.0,1.0,1.0,1.0,1.0,5
/agent14/lightcontrol14/lightOn,64,48.0,16.0,1.0,1.0,1.0,1.0,5
/agent12/heatingcontrol3,71,53.0,18.0,0.9778,1.0,0.9778,1.0,5
/agent20/doorlock4/open,71,53.0,18.0,1.0,1.0,1.0,1.0,5
/agent3/heatingcontrol1,71,53.0,18.0,0.9889,1.0,0.9889,1.0,5
/agent12/lightcontrol12/lightOn,80,60.0,20.0,1.0,1.0,1.0,1.0,5
/agent25/heatingcontrol4,84,63.0,21.0,1.0,1.0,1.0,1.0,5
/agent11/heatingcontrol2,87,65.0,22.0,0.9818,0.7818,0.9818,1.0,5
/agent21/doorlock5/open,89,67.0,22.0,1.0,1.0,1.0,1.0,5
/agent28/lightcontrol28/lightOn,100,75.0,25.0,1.0,1.0,1.0,1.0,5
/agent29/lightcontrol29/lightOn,103,77.0,26.0,1.0,1.0,1.0,1.0,5
/agent27/lightcontrol27/lightOn,104,78.0,26.0,1.0,1.0,1.0,1.0,5
/agent23/lightcontrol23/lightOn,104,78.0,26.0,1.0,1.0,1.0,1.0,5
/agent26/lightcontrol26/lightOn,105,79.0,26.0,1.0,1.0,1.0,1.0,5
/agent25/lightcontrol25/lightOn,107,80.0,27.0,1.0,1.0,1.0,1.0,5
/agent20/lightcontrol20/lightOn,112,84.0,28.0,1.0,1.0,1.0,1.0,5
/agent21/lightcontrol21/lightOn,113,85.0,28.0,1.0,1.0,1.0,1.0,5
/agent22/lightcontrol22/lightOn,115,86.0,29.0,1.0,1.0,1.0,1.0,5
/agent24/lightcontrol24/lightOn,116,87.0,29.0,1.0,1.0,1.0,1.0,5
/agent12/doorlock3/open,861,646.0,215.0,1.0,1.0,1.0,1.0,5
/agent14/washingmachine3/washing,1783,1337.0,446.0,1.0,1.0,1.0,1.0,5
/agent29/movement29/movement,4169,3127.0,1042.0,1.0,1.0,1.0,1.0,5
/agent28/movement28/movement,4169,3127.0,1042.0,1.0,0.9954,1.0,1.0,5
/agent26/movement26/movement,4170,3128.0,1042.0,0.9971,0.9956,1.0,1.0,5
/agent27/movement27/movement,4171,3128.0,1043.0,0.9988,1.0,1.0,1.0,5
/agent23/movement23/movement,4172,3129.0,1043.0,1.0,0.9937,1.0,1.0,5
/agent5/movement5/movement,4172,3129.0,1043.0,0.9969,1.0,1.0,1.0,5
/agent13/movement13/movement,4174,3130.0,1044.0,0.9977,0.9925,1.0,1.0,5
/agent25/movement25/movement,4174,3130.0,1044.0,0.9987,0.992,1.0,1.0,5
/agent11/movement11/movement,4178,3134.0,1044.0,0.9973,0.9941,1.0,1.0,5
/agent2/movement2/movement,4179,3134.0,1045.0,0.9989,1.0,1.0,1.0,5
/agent6/movement6/movement,4182,3136.0,1046.0,0.9979,1.0,1.0,1.0,5
/agent20/movement20/movement,4183,3137.0,1046.0,0.9954,1.0,1.0,1.0,5
/agent22/movement22/movement,4183,3137.0,1046.0,0.9985,1.0,1.0,1.0,5
/agent3/movement3/movement,4183,3137.0,1046.0,1.0,1.0,1.0,1.0,5
/agent24/movement24/movement,4184,3138.0,1046.0,0.9967,1.0,1.0,1.0,5
/agent21/movement21/movement,4186,3140.0,1046.0,0.9985,0.9925,1.0,1.0,5
/agent4/movement4/movement,4189,3142.0,1047.0,0.9954,1.0,1.0,1.0,5
/agent4/battery3/charging,4204,3153.0,1051.0,0.408,1.0,1.0,1.0,5
/agent10/movement10/movement,4277,3208.0,1069.0,1.0,1.0,1.0,1.0,5
/agent14/movement14/movement,4336,3252.0,1084.0,1.0,1.0,1.0,1.0,5
/agent4/battery3/charge,4540,3405.0,1135.0,0.6,0.0002,1.0,1.0,5
/agent1/movement1/movement,6293,4720.0,1573.0,0.9996,1.0,1.0,1.0,5
/agent25/tempin25,6347,4760.0,1587.0,0.9999,1.0,1.0,1.0,5
/agent26/tempin26,6347,4760.0,1587.0,0.9999,1.0,0.9999,1.0,5
/agent24/tempin24,6349,4762.0,1587.0,1.0,1.0,1.0,1.0,5
/agent27/tempin27,6350,4762.0,1588.0,0.9999,1.0,1.0,1.0,5
/agent29/tempin29,6351,4763.0,1588.0,0.9999,1.0,0.9999,1.0,5
/agent14/tempin14,6370,4778.0,1592.0,1.0,1.0,1.0,1.0,5
/agent13/tempin13,6384,4788.0,1596.0,1.0,1.0,1.0,1.0,5
/agent22/tempin22,6397,4798.0,1599.0,0.9999,1.0,0.9999,1.0,5
/agent10/tempin10,6397,4798.0,1599.0,1.0,1.0,1.0,1.0,5
/agent5/tempin5,6401,4801.0,1600.0,0.9999,1.0,1.0,1.0,5
/agent21/tempin21,6404,4803.0,1601.0,0.9999,1.0,1.0,1.0,5
/agent20/tempin20,6405,4804.0,1601.0,0.9999,1.0,0.9999,1.0,5
/agent23/tempin23,6406,4804.0,1602.0,1.0,1.0,1.0,1.0,5
/agent4/tempin4,6414,4810.0,1604.0,0.9999,1.0,0.9999,1.0,5
/agent3/tempin3,6416,4812.0,1604.0,1.0,1.0,1.0,1.0,5
/agent11/tempin11,6512,4884.0,1628.0,1.0,1.0,1.0,1.0,5
/agent12/battery6/charging,6540,4905.0,1635.0,0.0,0.0,0.6,1.0,5
/agent2/tempin2,6550,4912.0,1638.0,1.0,1.0,1.0,1.0,5
/agent1/tempin1,6551,4913.0,1638.0,0.9803,0.9803,1.0,1.0,5
/agent28/tempin28,6552,4914.0,1638.0,1.0,1.0,1.0,1.0,5
/agent5/battery2/charging,6649,4987.0,1662.0,0.0102,0.0728,0.6059,1.0,5
/agent12/battery5/charging,6748,5061.0,1687.0,0.0,0.0,0.4,0.937,5
/agent5/battery1/charging,6784,5088.0,1696.0,0.0,0.9415,0.4,1.0,5
/agent12/movement12/movement,7124,5343.0,1781.0,1.0,1.0,1.0,1.0,5
/agent6/tempin6,8407,6305.0,2102.0,1.0,1.0,1.0,1.0,5
/agent11/battery4/charging,8611,6458.0,2153.0,0.0,1.0,1.0,1.0,5
/agent12/battery6/charge,16460,12345.0,4115.0,0.6504,0.7518,1.0,1.0,5
/agent5/battery2/charge,16494,12370.0,4124.0,0.2,0.0001,1.0,0.7567,5
/agent5/battery1/charge,16526,12394.0,4132.0,0.8,0.0,1.0,0.2451,5
/agent12/battery5/charge,16531,12398.0,4133.0,0.3493,0.2469,1.0,0.2469,5
/agent11/battery4/charge,19032,14274.0,4758.0,1.0,0.0002,1.0,1.0,5
