split,n_seeds,n_val_min,n_val_max,num_classes,accuracy_mean,macro_f1_mean,balanced_accuracy_mean,accuracy_std,macro_f1_std,balanced_accuracy_std
random,5,89488,89488,170,0.7948,0.6101,0.6315,0.0012,0.0161,0.0194
group_sentence,5,52468,170192,170,0.5167,0.2856,0.412,0.1269,0.0395,0.0489
