endpoint,total_rows,mean_train_rows,clf_r1,retr_r1,clf_r3,retr_r3,n_seeds
/agent25/lightcontrol25,1,1.0,0.0,1.0,0.0,1.0,5
/agent5/battery2,1,1.0,0.0,1.0,0.0,1.0,5
/agent4/battery3,1,1.0,0.0,1.0,0.0,1.0,5
/agent12/battery6,1,1.0,0.0,0.0,0.0,1.0,5
/agent12/battery5,1,1.0,0.0,1.0,0.0,1.0,5
/agent3/doorlock1,1,1.0,0.0,1.0,0.0,1.0,5
/agent5/battery1,1,1.0,0.0,0.0,0.0,1.0,5
/agent28/lightcontrol28,1,1.0,0.0,1.0,0.0,1.0,5
/agent28/movement28,1,1.0,0.0,1.0,0.0,1.0,5
/agent11/washingmachine2,1,1.0,0.0,1.0,0.0,1.0,5
/agent14/washingmachine3,1,1.0,0.0,1.0,0.0,1.0,5
/agent10/doorlock2,1,1.0,0.0,1.0,0.0,1.0,5
/agent11/battery4,1,1.0,0.0,1.0,0.0,1.0,5
/agent20/doorlock4,1,1.0,0.0,1.0,0.0,1.0,5
/agent21/doorlock5,1,1.0,0.0,1.0,0.0,1.0,5
/agent12/doorlock3,1,1.0,0.0,1.0,0.0,1.0,5
/agent6/washingmachine1,1,1.0,0.0,1.0,0.0,1.0,5
/agent26/lightcontrol26,1,1.0,0.0,1.0,0.0,1.0,5
/agent27/lightcontrol27,1,1.0,0.0,1.0,0.0,1.0,5
/agent29/lightcontrol29,1,1.0,0.0,1.0,0.0,1.0,5
/agent29/movement29,1,1.0,0.0,1.0,0.0,1.0,5
/agent25/movement25,1,1.0,0.0,1.0,0.0,1.0,5
/agent3/questioningservice1,1,1.0,0.0,1.0,0.0,1.0,5
/agent12/heatingcontrol3/heatingOn,1,1.0,0.0,1.0,0.0,1.0,5
/agent10/questioningservice2,1,1.0,0.0,1.0,0.0,1.0,5
/agent13/questioningservice3,1,1.0,0.0,1.0,0.0,1.0,5
/agent12/lightcontrol12,2,1.0,0.0,1.0,0.0,1.0,5
/agent10/movement10,2,1.0,0.0,0.8,0.0,1.0,5
/agent11/heatingcontrol2/heatingOn,2,1.0,0.0,0.0,0.0,1.0,5
/agent10/lightcontrol10,2,1.0,0.0,0.4,0.0,1.0,5
/agent3/doorlock1/open,3,2.0,0.0,1.0,0.2,1.0,5
/agent3/heatingcontrol1/heatingOn,3,2.0,0.0,1.0,0.8,1.0,5
/agent6/washingmachine1/washing,3,2.0,0.0,1.0,0.6,1.0,5
/agent12/tempin12,3,2.0,0.0,1.0,0.6,1.0,5
/agent11/washingmachine3/washing,16,12.0,0.8,1.0,1.0,1.0,5
/agent1/movement1/lastChange,18,14.0,0.0,0.0,1.0,1.0,5
/agent10/doorlock2/open,19,14.0,1.0,1.0,1.0,1.0,5
/agent28/movement28/lastChange,20,15.0,0.2,1.0,1.0,1.0,5
/agent11/movement11/lastChange,23,17.0,0.2,1.0,1.0,1.0,5
/agent29/movement29/lastChange,23,17.0,0.0,0.0,1.0,1.0,5
/agent10/movement10/lastChange,23,17.0,0.0,0.0,1.0,1.0,5
/agent23/movement23/lastChange,24,18.0,0.4,1.0,1.0,1.0,5
/agent27/movement27/lastChange,24,18.0,0.0,0.0,1.0,1.0,5
/agent5/movement5/lastChange,25,19.0,0.4,0.0,1.0,1.0,5
/agent2/movement2/lastChange,25,19.0,0.2,0.0,1.0,1.0,5
/agent26/movement26/lastChange,25,19.0,0.0,1.0,1.0,1.0,5
/agent12/movement12/lastChange,26,20.0,0.2,0.0,1.0,1.0,5
/agent14/movement14/lastChange,27,20.0,0.0,0.0,1.0,1.0,5
/agent25/movement25/lastChange,27,20.0,0.2,1.0,1.0,1.0,5
/agent3/movement3/lastChange,29,22.0,0.2,0.0,1.0,1.0,5
/agent20/movement20/lastChange,32,24.0,0.2,0.0,1.0,1.0,5
/agent13/movement13/lastChange,32,24.0,0.4,1.0,1.0,1.0,5
/agent4/movement4/lastChange,33,25.0,0.0,0.0,1.0,1.0,5
/agent21/movement21/lastChange,34,26.0,0.2,1.0,1.0,1.0,5
/agent6/movement6/lastChange,34,26.0,0.0,0.0,1.0,1.0,5
/agent13/lightcontrol13/lightOn,34,26.0,1.0,1.0,1.0,1.0,5
/agent22/movement22/lastChange,35,26.0,0.2,0.0,1.0,1.0,5
/agent24/movement24/lastChange,36,27.0,0.6,0.0,1.0,1.0,5
/agent1/lightcontrol1/lightOn,39,29.0,1.0,1.0,1.0,1.0,5
/agent5/lightcontrol5/lightOn,47,35.0,1.0,1.0,1.0,1.0,5
/agent2/lightcontrol2/lightOn,47,35.0,1.0,1.0,1.0,1.0,5
/agent3/lightcontrol3/lightOn,51,38.0,1.0,1.0,1.0,1.0,5
/agent4/lightcontrol4/lightOn,55,41.0,1.0,1.0,1.0,1.0,5
/agent6/lightcontrol6/lightOn,55,41.0,1.0,1.0,1.0,1.0,5
/agent10/lightcontrol10/lightOn,60,45.0,1.0,1.0,1.0,1.0,5
/agent11/lightcontrol11/lightOn,60,45.0,1.0,1.0,1.0,1.0,5
/agent14/lightcontrol14/lightOn,64,48.0,1.0,1.0,1.0,1.0,5
/agent20/doorlock4/open,71,53.0,1.0,1.0,1.0,1.0,5
/agent3/heatingcontrol1,71,53.0,0.9889,1.0,1.0,1.0,5
/agent12/heatingcontrol3,71,53.0,0.9778,1.0,0.9778,1.0,5
/agent12/lightcontrol12/lightOn,80,60.0,0.8,1.0,1.0,1.0,5
/agent25/heatingcontrol4,84,63.0,1.0,1.0,1.0,1.0,5
/agent11/heatingcontrol2,87,65.0,0.9818,1.0,0.9818,1.0,5
/agent21/doorlock5/open,89,67.0,1.0,1.0,1.0,1.0,5
/agent28/lightcontrol28/lightOn,100,75.0,1.0,1.0,1.0,1.0,5
/agent29/lightcontrol29/lightOn,103,77.0,1.0,1.0,1.0,1.0,5
/agent27/lightcontrol27/lightOn,104,78.0,1.0,1.0,1.0,1.0,5
/agent23/lightcontrol23/lightOn,104,78.0,1.0,1.0,1.0,1.0,5
/agent26/lightcontrol26/lightOn,105,79.0,1.0,1.0,1.0,1.0,5
/agent25/lightcontrol25/lightOn,107,80.0,1.0,1.0,1.0,1.0,5
/agent20/lightcontrol20/lightOn,112,84.0,1.0,1.0,1.0,1.0,5
/agent21/lightcontrol21/lightOn,113,85.0,1.0,1.0,1.0,1.0,5
/agent22/lightcontrol22/lightOn,115,86.0,1.0,1.0,1.0,1.0,5
/agent24/lightcontrol24/lightOn,116,87.0,1.0,1.0,1.0,1.0,5
/agent12/doorlock3/open,861,646.0,1.0,1.0,1.0,1.0,5
/agent14/washingmachine3/washing,1783,1337.0,1.0,1.0,1.0,1.0,5
/agent29/movement29/movement,4169,3127.0,1.0,1.0,1.0,1.0,5
/agent28/movement28/movement,4169,3127.0,0.9994,0.9954,1.0,1.0,5
/agent26/movement26/movement,4170,3128.0,1.0,0.9956,1.0,1.0,5
/agent27/movement27/movement,4171,3128.0,1.0,1.0,1.0,1.0,5
/agent23/movement23/movement,4172,3129.0,0.9973,0.9937,1.0,1.0,5
/agent5/movement5/movement,4172,3129.0,0.9969,1.0,1.0,1.0,5
/agent13/movement13/movement,4174,3130.0,0.9973,0.9925,1.0,1.0,5
/agent25/movement25/movement,4174,3130.0,0.9987,0.992,1.0,1.0,5
/agent11/movement11/movement,4178,3134.0,0.9989,0.9941,1.0,1.0,5
/agent2/movement2/movement,4179,3134.0,0.9989,1.0,1.0,1.0,5
/agent6/movement6/movement,4182,3136.0,1.0,1.0,1.0,1.0,5
/agent22/movement22/movement,4183,3137.0,0.999,1.0,1.0,1.0,5
/agent3/movement3/movement,4183,3137.0,0.9977,1.0,1.0,1.0,5
/agent20/movement20/movement,4183,3137.0,0.9987,1.0,1.0,1.0,5
/agent24/movement24/movement,4184,3138.0,0.995,1.0,1.0,1.0,5
/agent21/movement21/movement,4186,3140.0,0.9979,0.9925,1.0,1.0,5
/agent4/movement4/movement,4189,3142.0,1.0,1.0,1.0,1.0,5
/agent4/battery3/charging,4204,3153.0,0.2152,1.0,1.0,1.0,5
/agent10/movement10/movement,4277,3208.0,1.0,1.0,1.0,1.0,5
/agent14/movement14/movement,4336,3252.0,1.0,1.0,1.0,1.0,5
/agent4/battery3/charge,4540,3405.0,0.8,0.0002,1.0,1.0,5
/agent1/movement1/movement,6293,4720.0,1.0,1.0,1.0,1.0,5
/agent26/tempin26,6347,4760.0,1.0,1.0,1.0,1.0,5
/agent25/tempin25,6347,4760.0,0.9999,1.0,1.0,1.0,5
/agent24/tempin24,6349,4762.0,0.9999,1.0,0.9999,1.0,5
/agent27/tempin27,6350,4762.0,1.0,1.0,1.0,1.0,5
/agent29/tempin29,6351,4763.0,0.9999,1.0,0.9999,1.0,5
/agent14/tempin14,6370,4778.0,1.0,1.0,1.0,1.0,5
/agent13/tempin13,6384,4788.0,1.0,1.0,1.0,1.0,5
/agent10/tempin10,6397,4798.0,1.0,1.0,1.0,1.0,5
/agent22/tempin22,6397,4798.0,0.9999,1.0,0.9999,1.0,5
/agent5/tempin5,6401,4801.0,1.0,1.0,1.0,1.0,5
/agent21/tempin21,6404,4803.0,0.9999,1.0,0.9999,1.0,5
/agent20/tempin20,6405,4804.0,1.0,1.0,1.0,1.0,5
/agent23/tempin23,6406,4804.0,1.0,1.0,1.0,1.0,5
