bin,n_classes,clf_r1,retr_r1,clf_r3,retr_r3
~1 (singleton),50,0.0,0.95,0.01,1.0
2-15,30,0.43,0.533,1.0,1.0
16-150,20,0.991,1.0,0.998,1.0
151-1500,23,0.956,0.955,1.0,1.0
>1500,32,0.781,0.775,0.938,0.943
