model,params_M,index_mem_MiB,hit@1,hit@4,build_ms_mean,build_ms_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,add_ms_mean,add_ms_std,del_ms_mean,del_ms_std
all-MiniLM-L6-v2,22.7,0.419,0.787,0.918,177.61,47.27,3.55,0.07,4.75,0.1,3.6,0.08,0.04,0.0
all-mpnet-base-v2,109.5,0.838,0.639,0.82,994.33,157.81,13.29,2.3,16.77,4.22,14.45,2.74,0.07,0.0
